Feature ID	Taxon	Confidence
1458d9896ce69ee74f0788b5fbf7f2c0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	0.9997582841286351
f726e0d2231dc496b5afd6f73afa8cda	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	0.9997687479106987
094aaff082af4e9b0249c37c5a8a1dd7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	0.9997117130865436
3604e7869212c58a2d0d532f33580191	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	0.9997762606157782
b8e08b0d0692dcc405b8bd52c2d68050	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__Sutterellaceae_bacterium	0.994560956224917
e710393bbb83e6bd555836f73b9202fc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Paraprevotella; s__metagenome	0.9989044720894987
5c24dbefd5948e030ec163fd3bac18e6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999999999972831
b55d59cd6e9e46587c0cd0c604e784bf	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_eggerthii	0.9795221706260192
a2df5a65ef8f506c87c3b44a74ae8b3b	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_organism	0.8971048071801843
9beb437e9aef2be805fcea49e298f52e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_eggerthii	0.9982029547124517
bdd53ec9c14c1c7e7c92c2378853c668	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999999999975386
